,Rating,Title,Review,Review_Date
0,4.0,Average phone,"I am writing this review after seven days of using this phone. This phone is budget friendly and coming within 9k. Sensitivity , screen quality , operating are easy. This phone takes minimum 2 to 3 hours for full charge. Cameras are not upto the mark. Useful for general use. Giving  4 out of 5. Since in this price we can't expect more.",24 April 2023
1,4.0,Good Phone and big Phone,"The Phone is very good at this price point no complains, display is good,Camera is average, not good in low lights, sound is loud, mono speaker no finger print scanner:-(, battery backup good, don’t play games. light user phone.",22 April 2023
2,4.0,Ram is not expandable upto 8gn,"The varient which i got is it only have 4 gb of Ram..it cannot expandable upto 8gb...While buying this phone they mentioned it on the details, but they are not providing Ram plus in this varient..so dont get fooled with their trick to sell items.",19 April 2023
3,4.0,Prompt response,"Product is meets with the all the expectation in addition camera,battery back up and design is fits in my requirements and it's nice experience.",22 April 2023
4,4.0,Very good,"Product is very good , but you have to compromise with processor, very good for elder parents...",25 April 2023
5,4.0,Camera is below average but price is overall less than others,"It got it at 7.5k and it's good for this price..Pros1. Good RAM and ROM (4/64GB) with RAM plus where part of ROM would act as RAM2. Good battery capacity of 5000mAH2. Phone is slightly bigger than other brands like M213. Weight and width of phone is less and it's good to fit in hand.Cons1. Camera quality is below average.If you looking for phone where camera isn't main feature, just go for this one..",10 April 2023
6,4.0,Ok,Ok,23 April 2023
7,3.0,Overall OK-OK,"Had this phone for about 2-3 day and here is my review:1) Body-wise, the phone is bit heavy but looks classy. - 4/52) Battery life also seems fine at the moment. - 3.5/53) The UI is same as other Samsung Galaxy M smartphones which is smooth and clutter free. - 4/54) The screen is big enough and features vibrant colors. - 4/55) Performance seems fine (not excellent btw) when using multiple apps. I haven't tested big games though. - 3.5/56) The worst part of this phone is its camera quality. I expected much better quality pics from dual 13 MP rear camera. - 2/5Final Verdict: Decent entry level smartphone from usability and performance standpoint. Avoid if camera quality is big concern for you.",18 April 2023
8,4.0,Good phone and value for money,he mobile has a very decent speed. Value for money and excellent product in this segment of 4 GB RAM.,16 April 2023
9,4.0,Good low budget smartphone,Good low budget smartphone,23 April 2023
10,4.0,Budget worthy,Nice product for Budget price,Reviewed in India 🇮🇳 on 21 April 2023
11,4.0,Average,Average product,Reviewed in India 🇮🇳 on 19 April 2023
12,4.0,Very much exciting camera power and 128 GB storage.,Volume buttons are so small. Both are inconvient to operate.Switch off and on button is well placed.,Reviewed in India 🇮🇳 on 13 April 2023
13,4.0,Good,Good,Reviewed in India 🇮🇳 on 19 April 2023
14,4.0,Face reding,Face unlock is not good,Reviewed in India 🇮🇳 on 15 April 2023
15,4.0,Good,Good,Reviewed in India 🇮🇳 on 16 April 2023
16,4.0,Good for this budget,Nice mobile for this price,Reviewed in India 🇮🇳 on 14 April 2023
17,4.0,Good,Does the job,Reviewed in India 🇮🇳 on 14 April 2023
18,4.0,Vfm,Value for money. Camera is okayish.,Reviewed in India 🇮🇳 on 19 April 2023
19,4.0,Ok ok,Price 7.499 will be ok 8.500 is more price,Reviewed in India 🇮🇳 on 12 April 2023
20,4.0,Galaxy M04 - Good,This is a basic phone which you can give to your kids. Its not for high end gaming or shooting photos. Overall it is worth for its price and the looks are premium. It also works on 4gLTE. Samsung doesn't disappoint and Amazon has offered the cheapest when compared to other online portals.,9 April 2023
21,4.0,Good product,Nice,12 April 2023
